Object Detection Results:,results
b'Car',0.972453117
b'Car',0.938527644
b'Wheel',0.681287169
b'Car',0.60763222
b'Car',0.598304451
b'Car',0.560859799
b'Wheel',0.551762104
b'Car',0.271986574
b'Car',0.200998247
b'Tire',0.195352092
b'Car',0.179297999
b'Tire',0.164614737
b'Car',0.160230994
b'Car',0.151208833
b'Car',0.143152133
b'Car',0.131171614
b'Car',0.124275111
b'Car',0.122672603
b'Car',0.120378159
b'Car',0.114891529
b'Wheel',0.114470407
b'Car',0.076399095
b'Car',0.070863351
b'Car',0.067853391
b'Car',0.035551436
b'Car',0.030662401
b'Car',0.02808287
b'Car',0.027436657
b'Car',0.026799677
b'Car',0.024943963
b'Car',0.024187088
b'Car',0.022926226
b'Car',0.022563497
b'Car',0.022040192
b'Wheel',0.020719057
b'Wheel',0.017111795
b'Car',0.016931774
b'Car',0.016496956
b'Wheel',0.016179619
b'Car',0.015018834
b'Car',0.014462096
b'Tire',0.014440891
b'Wheel',0.014193635
b'Land vehicle',0.013452228
b'Car',0.012276602
b'Car',0.011466921
b'Car',0.011120273
b'Tree',0.011015377
b'Tree',0.011014597
b'Wheel',0.010026215
b'Wheel',0.009280546
b'Wheel',0.009235092
b'Car',0.009041219
b'Wheel',0.00853081
b'Wheel',0.008286915
b'Wheel',0.008162447
b'Land vehicle',0.007787917
b'Truck',0.007774582
b'Wheel',0.006953975
b'Auto part',0.006870211
b'Tree',0.006746106
b'Vehicle',0.006691836
b'Wheel',0.006452183
b'Tire',0.006399932
b'Wheel',0.006275301
b'Tree',0.006027032
b'Land vehicle',0.005981331
b'Land vehicle',0.005935558
b'Wheel',0.005678053
b'Car',0.005584588
b'Wheel',0.005575212
b'Car',0.005422573
b'Tree',0.005373261
b'Tree',0.005359893
b'Wheel',0.005274718
b'Vehicle',0.005112216
b'Car',0.005029575
b'Car',0.004903309
b'Car',0.004768734
b'Truck',0.004521254
b'Auto part',0.00450407
b'Land vehicle',0.004369743
b'Land vehicle',0.004356935
b'Vehicle',0.00429841
b'Tire',0.004263437
b'Van',0.004139722
b'Car',0.00359819
b'Wheel',0.003587458
b'Plant',0.003505222
b'Wheel',0.00345691
b'Land vehicle',0.003390123
b'Wheel',0.003340008
b'Tire',0.00333477
b'Car',0.003279848
b'Tire',0.003182014
b'Van',0.003079476
b'Wheel',0.002954046
b'Wheel',0.002952147
b'Plant',0.002851004
b'Tree',0.002813262
